toCheck img name: toCheck_100037_00908s_BUZ_05_OFF.png, ref img text: 5, toCheck img text: 0, is same text: False
toCheck img name: toCheck_100044_00392s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100138_00392s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100175_00392s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100177_00542s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100021_00830s_BUZ_58_ON.png, ref img text: 58, toCheck img text: 58, is same text: True
toCheck img name: toCheck_100049_00476s_BUZ_33_OFF.png, ref img text: 33, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100049_00550s_BUZ_34_OFF.png, ref img text: 34, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100049_00625s_BUZ_45_OFF.png, ref img text: 45, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100049_00679s_BUZ_45_OFF.png, ref img text: 45, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100049_00252s_BUZ_13_OFF.png, ref img text: 13, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100049_00327s_BUZ_14_OFF.png, ref img text: 14, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100049_00401s_BUZ_25_OFF.png, ref img text: 25, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100050_00896s_BUZ_23_OFF.png, ref img text: 23, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100050_00970s_BUZ_26_OFF.png, ref img text: 26, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100050_01460s_BUZ_32_OFF.png, ref img text: 32, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100050_00242s_BUZ_08_OFF.png, ref img text: , toCheck img text: 16, is same text: False
toCheck img name: toCheck_100050_00747s_BUZ_09_OFF.png, ref img text: 9, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100050_00821s_BUZ_10_OFF.png, ref img text: 10, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100051_00466s_BUZ_04_OFF.png, ref img text: 4, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100051_00540s_BUZ_06_OFF.png, ref img text: 6, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100051_00615s_BUZ_18_OFF.png, ref img text: 18, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100051_00724s_BUZ_22_OFF.png, ref img text: 22, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100051_00949s_BUZ_24_OFF.png, ref img text: 24, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100051_00242s_BUZ_01_OFF.png, ref img text: , toCheck img text: 16, is same text: False
toCheck img name: toCheck_100051_00317s_BUZ_12_OFF.png, ref img text: 12, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100051_00391s_BUZ_02_OFF.png, ref img text: 2, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100052_00242s_BUZ_17_OFF.png, ref img text: 17, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100052_00317s_BUZ_20_OFF.png, ref img text: 20, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100052_00391s_BUZ_48_OFF.png, ref img text: 48, toCheck img text: 16, is same text: False
toCheck img name: toCheck_100055_01478s_BUZ_32_OFF.png, ref img text: 32, toCheck img text: , is same text: False
toCheck img name: toCheck_100055_00753s_BUZ_09_OFF.png, ref img text: 9, toCheck img text: , is same text: False
toCheck img name: toCheck_100013_00368s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: , is same text: False
toCheck img name: toCheck_100013_00444s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: , is same text: False
toCheck img name: toCheck_100022_00233s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 14, is same text: False
toCheck img name: toCheck_100022_00299s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 14, is same text: False
toCheck img name: toCheck_100023_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100023_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100043_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100063_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100063_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100066_00373s_BUZ_18_ON.png, ref img text: 18, toCheck img text: 24, is same text: False
toCheck img name: toCheck_100070_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100070_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100071_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100071_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100080_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: , is same text: False
toCheck img name: toCheck_100080_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: , is same text: False
toCheck img name: toCheck_100086_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 6, is same text: False
toCheck img name: toCheck_100086_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 6, is same text: False
toCheck img name: toCheck_100094_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100094_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100100_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100100_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100118_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 6, is same text: False
toCheck img name: toCheck_100138_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100174_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100176_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100176_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100177_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100177_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 2, is same text: False
toCheck img name: toCheck_100194_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100194_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 4, is same text: False
toCheck img name: toCheck_100196_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100196_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 10, is same text: False
toCheck img name: toCheck_100204_00279s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 23, is same text: False
toCheck img name: toCheck_100204_00213s_BUZ_00_OFF.png, ref img text: 0, toCheck img text: 23, is same text: False
toCheck img name: toCheck_100023_01103s_BUZ_09_OFF.png, ref img text: 9, toCheck img text: 0, is same text: False
